platform,emulator_name,supported_os,homepage,winget_id,homebrew_formula,flatpak_id,retroarch_core,save_directory,save_extensions,notes
Apple IIGS,KEGS,Windows;Linux;macOS,https://kegs.sourceforge.net/,,,,,~/Library/KEGS;~,.kegs,Kent's Emulated GS; BRAM stored within config.kegs file; requires ROM image from real hardware; v1.38 current; no package manager distributions available
Apple iOS,touchHLE,Windows;macOS;Linux;Android,https://touchhle.org/,,,,,touchHLE_sandbox,,High-level emulator for iPhone OS 2.x/3.x apps; Linux requires self-build; Apple Silicon macOS works via Rosetta; no firmware required
Apple Mac OS,Basilisk II,Windows;Linux;macOS,https://basilisk.cebix.net/,,,net.cebix.basilisk,,~/.basilisk_ii_prefs,.dsk;.img,68k Mac emulator for System 6.0.7 to Mac OS 8.1. Disk images stored in configured paths.
Apple Mac OS,SheepShaver,Windows;Linux;macOS,https://sheepshaver.cebix.net/,,,net.cebix.sheepshaver,,~/.sheepshaver_prefs,.dsk;.img,PowerPC Mac emulator for Mac OS 7.5.2 to 9.0.4. No JIT on ARM hosts.
Apple Mac OS,Mini vMac,Windows;Linux;macOS;Android;iOS,https://www.gryphel.com/c/minivmac/,,mini-vmac,,minivmac,./out,.dsk;.img;.hvf,Early Mac emulator (128K to Classic). RetroArch core available. Saves to 'out' folder on Linux.
Apple Mac OS,Clock Signal,Linux;macOS;FreeBSD,https://github.com/TomHarte/CLK,,clock-signal,,,,.dsk;.img,Cycle-accurate Mac 512ke/Plus emulator. Snap package on Linux. Document-based app on macOS.
Apple Mac OS,MAME,Windows;Linux;macOS,https://www.mamedev.org/,,mame,org.mamedev.MAME,mame,~/.mame/nvram;~/.mame/sta,.sta;.nv,Multi-system emulator supporting all 68k Macs. Various RetroArch core versions available.
Apple Mac OS,OSX-KVM,Linux,https://github.com/kholia/OSX-KVM,,,,,,,"KVM-based virtualization for running macOS on Linux. Supports Monterey, Ventura, Sonoma."
Apple Mac OS,VirtualBuddy,macOS,https://github.com/insidegui/VirtualBuddy,,virtualbuddy,,,,.bundle,Apple Silicon native virtualizer for macOS 12+. Requires macOS 13 or later on host.
Apple Mac OS,macOS on Hyper-V,Windows,https://github.com/balopez83/macOS_On_Hyper-V,,,,,,.vhdx,Hyper-V based virtualization for macOS on Windows. Requires OpenCore.
Arcade,MAME,Windows;Linux;macOS;FreeBSD;Android;iOS,https://www.mamedev.org/,,mame,org.mamedev.MAME,mame,~/.mame/nvram,.nv;.hi;.cfg;.sta,Most comprehensive arcade emulator; multiple RetroArch cores available (mame_2003
Arcade,FinalBurn Neo,Windows;macOS;Linux;Android;iOS,https://github.com/finalburnneo/FBNeo,,,org.libretro.FBNeo,fbneo,~/.config/fbneo/saves,.nv;.hi;.fs,macOS/Linux standalone ports not actively maintained; libretro core recommended for cross-platform
Arcade,Hypseus Singe,Windows;Linux;macOS,https://github.com/DirtBagXon/hypseus-singe,,,,,~/.hypseus/ram,.cfg,Laserdisc arcade emulator; fork of Daphne with Singe support; Singe games save to game directory
Arcade,TeknoParrot,Windows,https://teknoparrot.com/,,,,,TeknoParrot/UserProfiles,.xml;.txt,Modern PC-based arcade hardware emulator; closed-source; runs via Wine on Linux with limited success
Arcade,Supermodel,Windows;Linux;macOS,https://www.supermodel3.com/,,supermodel,com.supermodel3.Supermodel,,~/.local/share/supermodel/NVRAM,.nv,Sega Model 3 arcade emulator; no GUI - command line only
Arcade,Flycast,Windows;Linux;macOS;Android,https://github.com/flyinghead/flycast,,flycast,org.flycast.Flycast,flycast,~/.local/share/flycast,.bin;.vmu;.vms,Naomi/Naomi 2/Atomiswave arcade boards; also emulates Dreamcast; iOS support dropped
Arduboy,Ardens,Windows;Linux;macOS;Web,https://github.com/tiberiusbrown/Ardens,,,,ardens,~/.config/retroarch/saves,.srm;.state,Recommended. Arduboy FX simulator with profiling/debugging. Also has web player at tiberiusbrown.github.io/Ardens/. RetroArch core supports saves/states. Accepts .hex and .arduboy files.
Atari 2600,Stella,Windows;Linux;macOS;FreeBSD,https://stella-emu.github.io/,,stella,io.github.stella_emu.Stella,,~/.config/stella,.state,The go-to emulator for Atari 2600; cycle-accurate with extensive debugging capabilities; Time Machine feature for rewinding gameplay
Atari 2600,Stella (libretro),Windows;Linux;macOS;Android;iOS,https://docs.libretro.com/library/stella/,,,,stella,RetroArch saves directory,.state#,RetroArch/libretro core; states saved as 'content-name'.state#; no traditional saves (Atari 2600 had no battery save)
Atari 2600,Z64K,Windows;Linux;macOS,https://z64k.com/,,,,,./,.z64k,Java-based (requires JRE 8+); cycle-accurate; also emulates C64/C128/VIC-20/ZX Spectrum; saves snapshots in working directory
Atari 5200,Atari800,Windows;Linux;macOS;FreeBSD;Android,https://atari800.github.io/,,atari800,,atari800,~/.atari800,.a8s,Also emulates Atari 8-bit computers (400/800/XL/XE)
Atari 7800,BupSystem,Windows,http://tailchao.com/BupSystem,,,,,./saves,.sav;.state,Proprietary; high accuracy; only emulator officially supporting Rikki & Vikki
Atari 7800,MAME,Windows;Linux;macOS;FreeBSD,https://www.mamedev.org/,,mame,org.mamedev.MAME,mame,~/.mame/sta;~/.mame/nvram,.sta,Multi-system emulator with high accuracy
Atari 7800,A7800,Windows;Linux;macOS;FreeBSD,https://github.com/7800-devtools/a7800,,,,,~/.a7800/sta,.sta,Fork of MAME Atari 7800 driver with enhancements; GPLv2
Atari 7800,ProSystem,Windows,https://github.com/gstanton/ProSystem1_3,,,,prosystem,~/.config/retroarch/saves,.state,Development ceased in 2008; RetroArch core still maintained; no SRAM saves only save states
Atari 800,Altirra,Windows,https://www.virtualdub.org/altirra.html,,,,,~/.config/Altirra,.altstate,Windows-only; highly accurate cycle-exact emulation; excellent debugger; internal kernel available
Atari 800,Atari800,Windows;Linux;macOS;Android,https://atari800.github.io/,,atari800,,atari800,~/.atari800,.a8s,Cross-platform; config at ~/.atari800.cfg; also emulates Atari 5200
Atari 800,Atari++,Windows;Linux;macOS;FreeBSD,http://www.xl-project.com/,,,,,~/.atari++,.snap,Cycle-precise; built-in ROM fallback; config at ~/.atari++.conf
Atari Jaguar,BigPEmu,Windows;Linux;iOS;Android,https://www.richwhitehouse.com/jaguar/,,,com.richwhitehouse.BigPEmu,,~/.var/app/com.richwhitehouse.BigPEmu/data/UserData,.bigpcfg,First emulator with 100% retail compatibility; supports Jaguar CD; proprietary license; also available on App Store
Atari Jaguar,Virtual Jaguar,Windows;Linux;macOS,https://icculus.org/virtualjaguar/,,,,virtual_jaguar,~/.local/share/data/virtualjaguar/eeproms,.srm,Open source GPLv3; libretro core still actively maintained; standalone development inactive
Atari Jaguar CD,BigPEmu,Windows;Linux;iOS,https://www.richwhitehouse.com/jaguar/,,,,,%APPDATA%\BigPEmu\UserData,.bigpcfg,RECOMMENDED; first and only emulator with full Jaguar CD compatibility; closed source; supports Memory Track and VLM
Atari Jaguar CD,BizHawk,Windows;Linux,https://tasvideos.org/BizHawk,,,,,[BizHawk]\Jaguar\SaveRAM,.SaveRAM;.state,Uses Virtual Jaguar core internally; only a few Jaguar CD games work; primarily for TAS/speedrunning
Atari Lynx,Mednafen,Windows;Linux;macOS;FreeBSD,https://mednafen.github.io/,,,com.github.AmatCoder.mednaffe,beetle_lynx,~/.mednafen/sav,.sav,Flatpak is via Mednaffe frontend which bundles Mednafen
Atari Lynx,MAME,Windows;Linux;macOS;FreeBSD,https://www.mamedev.org/,,mame,org.mamedev.MAME,mame,~/.mame/nvram,.nv,Multi-system emulator; Lynx support via MAME softlist
Atari Lynx,Felix,Windows,https://github.com/laoo/Felix,,,,,,.eeprom,Cycle-exact emulator; EEPROM save support; Windows only but works in Wine
Atari ST,Hatari,Windows;Linux;macOS;FreeBSD,https://www.hatari-emu.org/,,hatari,org.tuxfamily.hatari,hatari,~/.hatari,.sav;.nvram,Requires TOS ROM image or EmuTOS; supports ST/STE/TT/Falcon
Atari ST,Steem SSE,Windows;Linux,https://sourceforge.net/projects/steemsse/,,,,"steemsse (beta, Windows only)",Documents/steem or AppData/steem,.sts,Highly accurate ST emulation; libretro core is Windows-only beta
Atari ST,ARAnyM,Windows;Linux;macOS;FreeBSD,https://aranym.github.io/,,,,,~/.aranym,.config,68040 VM rather than strict emulator; supports TT/Falcon; requires TOS 4.04 or EmuTOS
Atari XEGS,Altirra,Windows,https://www.virtualdub.org/altirra.html,,,,,~/.config/Altirra,.altstate,Windows-only; highly accurate cycle-exact emulation; excellent debugger; internal kernel available
Atari XEGS,Atari800,Windows;Linux;macOS;Android,https://atari800.github.io/,,atari800,,atari800,~/.atari800,.a8s,Cross-platform; config at ~/.atari800.cfg; also emulates Atari 5200
Atari XEGS,Atari++,Windows;Linux,http://www.xl-project.com/,,,,,~/.atari++,.state,Cycle-precise; built-in ROM fallback; config at ~/.atari++.conf
Bally Astrocade,MAME,Windows;Linux;macOS;FreeBSD,https://www.mamedev.org/,,mame,org.mamedev.MAME,mame_libretro,~/.mame/nvram;~/.mame/sta,.nv;.sta;.cfg,Multi-purpose emulation framework; only recommended emulator for this system
Bandai Super Vision 8000,MAME,Windows;Linux;macOS;FreeBSD,https://www.mamedev.org/,,mame,org.mamedev.MAME,mame_libretro,~/.mame/nvram,.nv;.cfg;.sta,Recommended; uses NVRAM for game saves and cfg for settings
BBC Microcomputer System,BeebEm,Windows;Linux;macOS;FreeBSD,https://github.com/stardot/beebem-windows,,,,,~/Documents/BeebEm/BeebState,.uefstate,Supports B/B+/Master 128 models; config in ~/Documents/BeebEm/Preferences.cfg; quicksave via keypad //*
BBC Microcomputer System,B-em,Windows;Linux;macOS;FreeBSD,https://github.com/stardot/b-em,,,,,~/.config/b-em,.snp,Comprehensive model support including Master Turbo/512; Linux config at ~/.config/b-em/b-em.cfg
BBC Microcomputer System,b2,Windows;Linux;macOS,https://github.com/tom-seddon/b2,,,snap:b2,b2,~/.local/share/b2,,Supports BBC B/B+/Master 128/Master Compact; available as snap on Linux; libretro core has no save support
Benesse - Pocket Challenge V2,ares,Windows;Linux;macOS,https://ares-emu.net/,AresEmulator.Ares,ares-emulator,dev.ares.ares,,~/.local/share/ares/Saves,.ram,High accuracy WonderSwan emulation; uses game folder system with save.ram files; 100% compatibility with Pocket Challenge V2 games
Benesse - Pocket Challenge V2,Mesen,Windows;Linux;macOS,https://www.mesen.ca/,SourMesen.Mesen2,,,,~/.config/Mesen2/Saves (Linux); ~/Documents/Mesen/Saves (Windows/macOS),.sav,High accuracy; built-in debugger and profiler; supports WonderSwan/Color in Mesen 2.x
Benesse - Pocket Challenge V2,Mednafen,Windows;Linux;macOS;FreeBSD,https://mednafen.github.io/,,mednafen,com.github.AmatCoder.mednaffe,beetle_cygne,~/.mednafen/sav,.sav;.mc0;.mc1,Mid-level accuracy; RetroArch core name is beetle_cygne; Flatpak is via Mednaffe GUI frontend which includes Mednafen
Camputers Lynx,Jynx,Windows;Linux,https://github.com/jonathan-markland/Jynx,,,,,~/.local/share/jynx,.lynxsnapshot,Open-source emulator for Lynx 48K/96K. Linux support via Raspberry Pi ARM build. Settings stored in non-roaming app data folder on Windows.
Camputers Lynx,MAME,Windows;Linux;macOS;FreeBSD,https://www.mamedev.org/,,mame,org.mamedev.MAME,mame,~/.mame,.sta;.nv;.cfg,Camputers Lynx support since v0.167. Improved tape support in v0.200. Save states in sta/ dir. NVRAM in nvram/ dir.
Casio Loopy,LoopyMSE,Windows,https://github.com/PSI-Rockin/LoopyMSE,,,,,same directory as ROM,.sav,Dedicated Casio Loopy emulator; runs all games; requires BIOS files; command-line only
Casio Loopy,MAME,Windows;Linux;macOS,https://www.mamedev.org/,,mame,org.mamedev.MAME,mame,~/.mame/nvram,.nv;.cfg;.sta,Casio Loopy support added in MAME 0.260; requires casloopy.zip BIOS; use shortname 'casloopy'
Casio PV-1000,MAME,Windows;Linux;macOS,https://www.mamedev.org/,,mame,org.mamedev.MAME,mame,~/.mame/nvram,.nv;.cfg;.sta,Only 15 games released for PV-1000; use shortname 'pv1000'; no BIOS required
Coleco ADAM,ADAM+,Windows;Linux,https://github.com/dvdh1961/ADAMP,,,,,,.sta,Recommended; active development; Qt6-based; includes debugger and T-DOS support
Coleco ADAM,FinalBurn Neo,Windows;Linux;macOS,https://github.com/finalburnneo/FBNeo,,,,fbneo,~/.config/retroarch/saves/fbneo,.fs;.nv;.srm,Recommended; better ColecoVision compatibility than MAME; standalone uses savestates folder
Coleco ADAM,MAME,Windows;Linux;macOS,https://www.mamedev.org/,,mame,org.mamedev.MAME,mame,~/.mame/nvram,.nv;.sta;.cfg,Requires BIOS files: adam.zip adam_ddp.zip adam_fdc.zip adam_kb.zip adam_prn.zip
Coleco ADAM,ColEm,Windows;Linux;macOS;Android,https://fms.komkon.org/ColEm/,,,,,,.sta,Complete ADAM emulation since v5.0; supports keyboard disk and tape drives
Coleco ADAM,ADAMEm SDL,Windows;Linux;macOS,https://github.com/geoffdaddy/adamem_sdl,,,,,,.sta,SDL2 port; includes Super Game Module support and composite video filter
ColecoVision,FinalBurn Neo,Windows;Linux;macOS;FreeBSD,https://neo-source.com,,,,fbneo,~/.config/retroarch/saves/fbneo,.nv;.hi,Recommended for ColecoVision; better compatibility than MAME/MESS. Requires coleco BIOS romset.
ColecoVision,JollyCV,Windows;Linux;macOS;FreeBSD,https://jgemu.gitlab.io/,,,,jollycv,~/.config/retroarch/saves,.state,BSD-3-Clause license; also emulates CreatiVision and My Vision.
ColecoVision,ColEm,Windows;Linux;macOS;Android;iOS,http://fms.komkon.org/ColEm/,,,,,~/.config/colem,.sav;.sta,Long-standing emulator with mobile versions. Supports Super Game Module and EEPROM saves.
ColecoVision,BizHawk,Windows;Linux,https://tasvideos.org/BizHawk,,,,,BizHawk/ColecoVision/SaveRAM,.SaveRAM;.State,Tool-assisted speedrun emulator with full rerecording and Lua scripting support. Supports RetroAchievements.
ColecoVision,ares,Windows;Linux;macOS;BSD,https://ares-emu.net,,ares-emulator,dev.ares.ares,,~/.local/share/ares/saves,.sav;.bsN,Multi-system emulator focused on accuracy and preservation. Descendant of higan/bsnes.
ColecoVision,Gearcoleco,Windows;Linux;macOS;BSD,https://github.com/drhelius/Gearcoleco,,,,gearcoleco,~/.config/retroarch/saves,.sav;.state,Accurate Z80 and TMS9918 emulation. Supports Super Game Module (SGM) and MegaCart ROMs.
Commodore 128,VICE,Windows;Linux;macOS;FreeBSD;Android;iOS,https://vice-emu.sourceforge.io/,,vice,net.sf.VICE,vice_x128,~/.config/vice,.vsf;.nvr;.d64;.d71;.d81,Versatile Commodore Emulator supporting C64/C128/VIC20/PET/PLUS4/CBM-II
Commodore 64,VICE,Windows;Linux;macOS;FreeBSD,https://vice-emu.sourceforge.io/,,vice,net.sf.VICE,vice_x64sc,~/.config/vice,.vsf,Cycle-accurate emulation with x64sc; also available as vice_x64 core for faster but less accurate emulation
Commodore 64,Hoxs64,Windows,https://www.hoxs64.net/,,,,,~/.config/Hoxs64,.ini,Windows-only cycle-exact emulator; settings stored in Windows registry or hoxs64.ini
Commodore 64,VirtualC64,macOS,https://dirkwhoffmann.github.io/virtualc64/,,virtualc64,,,~/Library/Application Support/VirtualC64,.vc64,Cycle-accurate macOS-native emulator; uses workspace bundles for save states
Commodore 64,Z64K,Windows;Linux;macOS,https://www.z64k.com/,,,,,,,Java-based cross-platform emulator; requires JRE 8+
Commodore 64,Kernal64,Windows;Linux;macOS,https://github.com/abbruzze/kernal64,,,,,,,Scala-based emulator; also emulates C128 VIC20 CBM2 and SuperCPU
Commodore 64,C64.emu,Android,https://www.explusalpha.com/contents/c64-emu,,,,,,,Based on VICE; supports save states; available on Google Play
Commodore 64,8-Bit Wonders,Android,https://eightbitwonders.gitlab.io/,,,,,,,Based on VICE; available on F-Droid; includes built-in games and time-machine feature
Commodore Amiga,FS-UAE,Windows;Linux;macOS,https://fs-uae.net/,,fs-uae-launcher,net.fsuae.FS-UAE,,~/Documents/FS-UAE/Save States,.uss,Cross-platform with focus on gaming; based on WinUAE; built-in WHDLoad support
Commodore Amiga,WinUAE,Windows,https://www.winuae.net/,,,,,~/Documents/WinUAE/SaveStates,.uss,Most accurate and fully-featured Amiga emulator; Windows-only
Commodore Amiga,Amiberry,Linux;macOS,https://blitterstudio.com/amiberry/,,amiberry,com.blitterstudio.amiberry,,~/.local/share/amiberry/savestates,.uss,Optimized for ARM and Linux; based on WinUAE; supports WHDLoad
Commodore Amiga,vAmiga,macOS,https://dirkwhoffmann.github.io/vAmiga/,,vamiga,,,~/Library/Containers/de.dirkwhoffmann.vAmiga,.vAmiga,Native macOS app for Amiga 500/1000/2000; document-based save system
Commodore Amiga,PUAE,Windows;Linux;macOS;Android;iOS,https://github.com/libretro/libretro-uae,,,,puae,RetroArch saves directory,.nvr;.state;.hdf,RetroArch/libretro core; continuation of E-UAE; supports CD32 and CDTV
Commodore Amiga CD32,FS-UAE,Windows;Linux;macOS,https://fs-uae.net/,,fs-uae,net.fsuae.FS-UAE,,~/Documents/FS-UAE/Save States,.uss,Cross-platform Amiga emulator based on WinUAE with focus on gaming; supports CD32/CDTV; has built-in WHDLoad support
Commodore Amiga CD32,WinUAE,Windows,https://www.winuae.net/,WinUAE.WinUAE,,,,%PUBLIC%\Documents\WinUAE\StateFiles,.uss,Most accurate and fully-featured Amiga emulator; Windows only; supports CD32 through configuration
Commodore Amiga CD32,PUAE (RetroArch),Windows;Linux;macOS;Android;iOS,https://docs.libretro.com/library/puae/,Libretro.RetroArch,retroarch,org.libretro.RetroArch,puae,~/.config/retroarch/saves,.nvr;.state;.hdf,LibRetro core based on P-UAE/WinUAE; auto-detects CD32 when loading CD images; requires CD32 kickstart ROMs
Commodore CDTV,WinUAE,Windows,https://www.winuae.net/,WinUAE.WinUAE,,,,Documents/WinUAE/Savestates,.uss;.nvr,Most accurate Amiga emulator; Windows only; supports CDTV mode
Commodore CDTV,FS-UAE,Windows;Linux;macOS,https://fs-uae.net/,,fs-uae-emulator,net.fsuae.FS-UAE,,~/Documents/FS-UAE/Save States,.uss,Cross-platform; based on WinUAE code; supports CDTV emulation
Commodore CDTV,PUAE,Windows;Linux;macOS;Android;iOS,https://github.com/libretro/libretro-uae,,,,puae,RetroArch saves directory,.nvr;.state,RetroArch/libretro core; continuation of E-UAE; CDTV NVRAM saves as .nvr
Commodore MAX Machine,VICE,Windows;Linux;macOS;FreeBSD,https://vice-emu.sourceforge.io/,,vice,net.sf.VICE,vice_x64,~/.config/vice,.nvr;.d64;.vsf,Primary recommended emulator; use x64sc with Ultimax mode for MAX Machine cartridges; very high accuracy
Commodore MAX Machine,MAME,Windows;Linux;macOS,https://www.mamedev.org/,,mame,org.mamedev.MAME,mame,~/.mame/nvram,.nv;.cfg,"Use driver ""max"" for dedicated MAX Machine emulation; comprehensive documentation"
Commodore PET,VICE (xpet),Windows;Linux;macOS;FreeBSD,https://vice-emu.sourceforge.io/,,vice,net.sf.VICE,vice_xpet,~/.config/vice,.vsf,Part of VICE emulator suite; emulates 2001/3032/4032/8032/8096/8296 and SuperPET models; run via 'xpet' binary
Commodore Plus 4,VICE,Windows;Linux;macOS;FreeBSD,https://vice-emu.sourceforge.io/,,vice,net.sf.VICE,vice_xplus4,~/.config/vice/,.vsf,Versatile Commodore Emulator; emulates Plus/4 via xplus4 binary; supports C16/C116/Plus4/V364 variants
Commodore VIC-20,VICE (xvic),Windows;Linux;macOS;FreeBSD,https://vice-emu.sourceforge.io/,,vice,net.sf.VICE,vice_xvic,~/.config/vice/,.vsf;.nvr,Open source GPLv2; High accuracy; Part of VICE emulator collection
Commodore VIC-20,Z64K,Windows;Linux;macOS,http://www.z64k.com/,,,,,,.z64k,Java-based; Requires JRE 8+; Proprietary; Also emulates C64/C128/ZX Spectrum/Atari 2600
Dragon 32/64,XRoar,Windows;Linux;macOS,https://www.6809.org.uk/xroar/,,xroar,,,~/.xroar,.sna,Most accurate Dragon 32/64 emulator; also emulates Tandy CoCo 1/2
Dragon 32/64,MAME,Windows;Linux;macOS,https://www.mamedev.org/,,mame,org.mamedev.MAME,mame_libretro,~/.mame/sta;~/.mame/nvram,.sta,Supports Dragon 32/64 and Project Alpha/Beta; part of multi-system emulator
EACA EG2000 Colour Genie,MAME,Windows;Linux;macOS,https://www.mamedev.org/,,,org.mamedev.MAME,mame,~/.mame/sta;~/.mame/nvram,.sta;.nv,Recommended; driver name cgenie; emulation status GOOD; save states not supported for this driver but nvram works
EACA EG2000 Colour Genie,Genieous,Windows,http://gaia.atilia.eu/,,,,,,.cas;.wav,Windows-only emulator by Attila Grosz; supports CAS tape format and WAV tape format; latest version 1.1.0
Elektronika BK,BKBTL,Windows;Linux;macOS,https://github.com/nzeemin/bkbtl,,,,bk,~/.config/bkbtl,.wav,BK Back to Life emulator; Qt version (bkbtl-qt) for cross-platform; uses WAV files for tape save/load; AppImage available for Linux
Elektronika BK,bk-emulator,Linux;macOS,https://github.com/emestee/bk-emulator,,,,,~/.config/bk-emulator,.bin,SDL-based emulator; also supports Terak 8510/a; requires building from source
Elektronika BK,MAME,Windows;Linux;macOS,https://www.mamedev.org/,,mame,org.mamedev.MAME,,~/.mame/nvram,.nv;.sta,BK-0010 has Good status; BK-0011M has Preliminary status; requires BIOS ROMs
